method,prefix_packets,round,root_seconds,residual_seconds,prefix_materialization_seconds,source_parse_seconds,temporal_feature_seconds,temporal_inference_seconds,stats_feature_seconds,stats_inference_seconds,fusion_seconds,coordination_seconds
allavg,8,0,4.2192518,0.013361600000000001,0.3738456,3.2424752999999997,0.4980041,0.0322802,0.0303883,0.0284233,0.0004734,0.0
allavg,8,1,4.1080733,0.0117368,0.35786229999999997,3.2195478,0.4406378,0.02708,0.0263462,0.02442,0.0004424,0.0
allavg,8,2,4.1543322,0.0126054,0.3589372,3.2533562,0.4507149,0.026825500000000002,0.0279302,0.0235235,0.0004393,0.0
allavg,16,0,4.8230965999999995,0.0127819,0.3917397,3.7828188000000003,0.5461489,0.0306035,0.031591600000000004,0.0269134,0.0004988,0.0
allavg,16,1,4.4198957,0.0119198,0.3906787,3.4798887,0.4574397,0.0272775,0.0283652,0.023870099999999998,0.000456,0.0
allavg,16,2,3.9576048999999998,0.0110254,0.3429334,3.1081157,0.41479350000000004,0.0266763,0.0300315,0.0235691,0.00046,0.0
fixed_low_confidence,8,0,4.6022382,0.012017,0.388557,3.6324387,0.538269,0.030234,0.0,0.0,0.0003151,0.0004074
fixed_low_confidence,8,1,4.0640962,0.0124492,0.371738,3.2012348,0.4500823,0.027869,0.0,0.0,0.0003015,0.0004214
fixed_low_confidence,8,2,3.9043703,0.010805,0.3026889,3.1414823,0.4226033,0.0261442,0.0,0.0,0.00028209999999999997,0.0003645
fixed_low_confidence,16,0,4.2673541,0.011733799999999999,0.3926491,3.3793025,0.4533877,0.029577600000000003,0.0,0.0,0.0003022,0.0004012
fixed_low_confidence,16,1,3.9308188,0.010508,0.3294901,3.1591796,0.40470649999999997,0.026302199999999998,0.0,0.0,0.0002767,0.0003557
fixed_low_confidence,16,2,4.1531822,0.0114159,0.36428879999999997,3.2992115,0.4509511,0.0266178,0.0,0.0,0.0003156,0.0003815
stats,8,0,3.8152539,0.0104619,0.3814276,3.3691009000000003,0.0,0.0,0.0283517,0.0259118,0.0,0.0
stats,8,1,4.1074994,0.0115192,0.3597062,3.6744171,0.0,0.0,0.0326208,0.0292361,0.0,0.0
stats,8,2,3.9973593,0.0117832,0.3975617,3.5263603,0.0,0.0,0.0349489,0.026705200000000002,0.0,0.0
stats,16,0,3.8163356,0.0105676,0.3414892,3.4089188,0.0,0.0,0.029427699999999998,0.0259323,0.0,0.0
stats,16,1,3.796608,0.0105885,0.325436,3.4049127,0.0,0.0,0.0301536,0.0255172,0.0,0.0
stats,16,2,4.1840361,0.0117678,0.384127,3.7282421,0.0,0.0,0.0318567,0.028042499999999998,0.0,0.0
temporal,8,0,4.0608815,0.010515,0.3456676,3.2570435,0.42121230000000004,0.0264431,0.0,0.0,0.0,0.0
temporal,8,1,4.3256345,0.011265,0.37663599999999997,3.444929,0.4650203,0.0277842,0.0,0.0,0.0,0.0
temporal,8,2,4.1289694,0.0124992,0.375524,3.2531805,0.45900240000000003,0.0287633,0.0,0.0,0.0,0.0
temporal,16,0,4.4962273,0.0117296,0.3722125,3.5870831,0.497541,0.0276611,0.0,0.0,0.0,0.0
temporal,16,1,4.2710829,0.0126117,0.4104713,3.3423042,0.47771600000000003,0.0279797,0.0,0.0,0.0,0.0
temporal,16,2,4.3519290999999996,0.0133976,0.3929704,3.3931369,0.5206625,0.031761700000000004,0.0,0.0,0.0,0.0
